Village/Locality name,Officename ( BO/SO/HO),Pincode,Sub-distname,Districtname,StateName
Aliganj,Lodi Road H.O,110003,Defence Colony,SOUTH EAST DELHI,DELHI
Kasturba Nagar,Lodi Road H.O,110003,Defence Colony,SOUTH EAST DELHI,DELHI
Jeewan Nagar,Jungpura S.O,110014,Defence Colony,SOUTH EAST DELHI,DELHI
Tehkhand,Okhla Industrial Estate S.O,110020,Defence Colony,SOUTH EAST DELHI,DELHI
Zakir Nagar SO,New Friends Colony S.O,110025,Defence Colony,SOUTH EAST DELHI,DELHI
Mungeshpur,Alipur S.O,110036,Alipur,NORTH DELHI,DELHI
Daryapur Village,Daryapur Kalan B.O,110039,Alipur,NORTH DELHI,DELHI
Sanot,Bawana S.O,110039,Narela,NORTH DELHI,DELHI
Mungeshpur Village,Mungeshpur B.O,110039,Narela,NORTH DELHI,DELHI
Daryapur,Bawana S.O,110039,Narela,NORTH DELHI,DELHI
Sanoth Village,Sanoth B.O B.O,110040,Rohini,NORTH WEST DELHI,DELHI
Tikri Khurd village,Tikri Khurd B.O,110040,Narela,NORTH DELHI,DELHI
tikri Khurd,Narela S.O,110040,Narela,NORTH DELHI,DELHI
Sahabad Dairy,Samai Pur S.O,110042,Alipur,NORTH DELHI,DELHI
Sahabad Daulat pur village,Shahbad Daulatpur B.O,110042,Rohini,NORTH WEST DELHI,DELHI
